Rank,Model,AST (ZH) Summary,ZH: Simple,ZH: Multiple,ZH: Parallel,ZH: Parallel Multiple,ZH: Relevance
1,Qwen3-8B (Prompt),93.56%,94.25%,93.00%,93.00%,94.00%,78.75%
2,Qwen3-8B (FC),93.19%,91.75%,93.50%,93.00%,94.50%,76.25%
3,ToolACE-2-8B (FC),92.12%,96.50%,92.00%,88.50%,91.50%,75.00%
4,Qwen/Qwen2.5-7B-Instruct,90.12%,93.50%,88.50%,88.50%,90.00%,61.67%
5,watt-tool-8B (FC),89.56%,92.25%,91.50%,88.00%,86.50%,80.42%
6,BitAgent-8B,89.50%,93.00%,91.50%,87.00%,86.50%,79.58%
7,Llama-3.1-8B-Instruct (Prompt),88.12%,93.00%,90.00%,83.50%,86.00%,49.58%
8,xLAM-2-8b-fc-r (FC),87.69%,92.25%,88.00%,85.50%,85.00%,50.83%
9,gpt-oss-20b LoRA ckpt420-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,87.38%,87.75%,87.00%,0.00%,0.00%,82.92%
10,gpt-oss-20b LoRA ckpt560-5epoch-clean-data-v1-500-split-turn-lr5e-7,87.12%,87.75%,86.50%,0.00%,0.00%,82.08%
11,gpt-oss-20b LoRA ckpt350-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,86.87%,87.75%,86.00%,0.00%,0.00%,82.92%
12,gpt-oss-20b LoRA ckpt490-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,86.75%,87.50%,86.00%,0.00%,0.00%,83.75%
13,gpt-oss-20b LoRA ckpt560-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,86.62%,86.25%,87.00%,0.00%,0.00%,83.33%
14,gpt-oss-20b LoRA ckpt480-5epoch-clean-data-v1-500-split-turn-lr5e-7,86.12%,86.25%,86.00%,0.00%,0.00%,85.00%
15,gpt-oss-20b LoRA ckpt400-5epoch-clean-data-v1-500-split-turn-lr5e-7,85.88%,86.25%,85.50%,0.00%,0.00%,85.42%
16,gpt-oss-20b LoRA ckpt480-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,85.38%,85.75%,85.00%,0.00%,0.00%,84.17%
17,gpt-oss-20b LoRA ckpt640-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,84.88%,85.75%,84.00%,0.00%,0.00%,83.75%
18,gpt-oss-20b LoRA ckpt690-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,84.88%,85.25%,84.50%,0.00%,0.00%,85.00%
19,gpt-oss-20b LoRA ckpt280-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,84.88%,85.75%,84.00%,0.00%,0.00%,85.42%
20,gpt-oss-20b LoRA ckpt400-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,84.62%,84.25%,85.00%,0.00%,0.00%,85.00%
21,gpt-oss-20b LoRA ckpt320-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,84.62%,83.75%,85.50%,0.00%,0.00%,86.25%
22,Mistral-Small-3.2-24B-Instruct-2506,84.56%,88.75%,85.50%,84.00%,80.00%,86.25%
23,gpt-oss-20b LoRA ckpt320-5epoch-clean-data-v1-500-split-turn-lr5e-7,84.25%,84.50%,84.00%,0.00%,0.00%,85.83%
24,BitAgent-Bounty-8B,84.19%,79.75%,83.50%,85.50%,88.00%,94.58%
25,gpt-oss-20b LoRA ckpt640-5epoch-clean-data-v1-500-split-turn-lr5e-7,83.88%,83.75%,84.00%,0.00%,0.00%,82.92%
26,gpt-oss-20b LoRA ckpt240-5epoch-clean-data-v1-500-split-turn-lr5e-7,83.25%,83.50%,83.00%,0.00%,0.00%,85.00%
27,gpt-oss-20b LoRA ckpt240-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,82.88%,84.25%,81.50%,0.00%,0.00%,86.25%
28,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,81.88%,80.75%,83.00%,0.00%,0.00%,82.08%
29,gpt-oss-20b LoRA ckpt210-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,81.62%,82.75%,80.50%,0.00%,0.00%,85.00%
30,gpt-oss-20b LoRA ckpt140-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,81.38%,81.75%,81.00%,0.00%,0.00%,86.67%
31,gpt-oss-20b LoRA ckpt160-3epoch-v5-data-500-split-turn-lr5e-7-16-64-128,81.12%,83.75%,78.50%,0.00%,0.00%,86.67%
32,gpt-oss-20b LoRA ckpt630-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,80.62%,78.25%,83.00%,0.00%,0.00%,82.92%
