Rank,Overall (ZH) Acc,Model,AST (ZH) Summary,ZH: Simple,ZH: Multiple,ZH: Parallel,ZH: Parallel Multiple,ZH: Relevance,Multi Turn (ZH) Overall Acc,ZH: Multi Turn Base,ZH: Multi Turn Miss Func,ZH: Multi Turn Miss Param,ZH: Multi Turn Long Context
1,61.57%,Qwen3-8B (Prompt),90.81%,94.25%,93.00%,93.00%,94.00%,78.75%,16.25%,21.00%,21.00%,13.50%,9.50%
2,60.93%,xLAM-2-8b-fc-r (FC),81.29%,92.25%,88.00%,85.50%,85.00%,50.83%,29.38%,34.00%,29.50%,24.00%,30.00%
3,60.59%,watt-tool-8B (FC),88.23%,92.25%,91.50%,88.00%,86.50%,80.42%,17.75%,21.50%,15.50%,12.50%,21.50%
4,60.49%,BitAgent-Bounty-8B,85.48%,79.75%,83.50%,85.50%,88.00%,94.58%,21.75%,23.00%,25.50%,19.50%,19.00%
5,60.44%,BitAgent-8B,88.15%,93.00%,91.50%,87.00%,86.50%,79.58%,17.50%,21.00%,15.50%,12.50%,21.00%
6,59.61%,ToolACE-2-8B (FC),89.52%,96.50%,92.00%,88.50%,91.50%,75.00%,13.25%,18.00%,11.00%,8.50%,15.50%
7,57.01%,Qwen3-8B (FC),89.68%,91.75%,93.50%,93.00%,94.50%,76.25%,6.38%,8.00%,7.00%,7.00%,3.50%
8,56.52%,Gemma-4-31B-it(FC),83.63%,90.75%,90.50%,87.50%,82.00%,64.17%,14.50%,20.00%,7.50%,12.00%,18.50%
9,54.80%,Gemma-4-26B-A4B-it(FC) LoRA ckpt720-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,82.58%,91.00%,90.50%,78.50%,81.50%,66.25%,11.75%,20.50%,2.50%,11.00%,13.00%
10,54.80%,Mistral-Small-3.2-24B-Instruct-2506,85.56%,88.75%,85.50%,84.00%,80.00%,86.25%,7.13%,9.00%,5.00%,5.50%,9.00%
11,54.46%,Gemma-4-26B-A4B-it(FC) LoRA ckpt800-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,82.18%,90.50%,90.00%,78.50%,80.50%,66.25%,11.50%,21.00%,2.00%,10.00%,13.00%
12,54.46%,Gemma-4-26B-A4B-it(FC) LoRA ckpt400-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,82.02%,89.75%,91.00%,79.00%,80.00%,65.83%,11.75%,21.50%,1.50%,10.00%,14.00%
13,54.46%,Gemma-4-26B-A4B-it(FC) LoRA ckpt480-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,82.10%,90.75%,91.00%,78.00%,79.50%,65.83%,11.62%,22.00%,1.50%,11.00%,12.00%
14,54.46%,Gemma-4-26B-A4B-it(FC) LoRA ckpt640-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,82.26%,89.75%,91.00%,78.50%,80.00%,67.50%,11.37%,20.00%,2.00%,12.00%,11.50%
15,54.46%,Gemma-4-26B-A4B-it(FC),81.77%,89.50%,87.50%,78.00%,81.00%,67.92%,12.12%,20.50%,1.00%,13.50%,13.50%
16,54.41%,Gemma-4-26B-A4B-it(FC) LoRA ckpt160-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,81.21%,88.75%,88.50%,77.50%,79.00%,67.50%,12.88%,21.00%,3.00%,13.50%,14.00%
17,54.31%,Gemma-4-26B-A4B-it(FC) LoRA ckpt320-5epoch-zhtw-split-turn-6144-trans5-empty-cot-lr5e-7,82.18%,90.25%,90.00%,79.00%,80.00%,66.67%,11.12%,20.50%,2.00%,9.50%,12.50%
