Rank,Overall (ZH) Acc,Model,AST (ZH) Summary,ZH: Simple,ZH: Multiple,ZH: Parallel,ZH: Parallel Multiple,ZH: Relevance,Multi Turn (ZH) Overall Acc,ZH: Multi Turn Base,ZH: Multi Turn Miss Func,ZH: Multi Turn Miss Param,ZH: Multi Turn Long Context
1,55.00%,xLAM-2-8b-fc-r (FC),79.40%,92.25%,88.00%,85.50%,85.00%,50.83%,29.38%,34.00%,29.50%,24.00%,30.00%
2,54.09%,watt-tool-8B (FC),88.69%,92.25%,91.50%,88.00%,86.50%,80.42%,17.75%,21.50%,15.50%,12.50%,21.50%
3,54.09%,BitAgent-Bounty-8B,84.88%,79.75%,83.50%,85.50%,88.00%,94.58%,21.75%,23.00%,25.50%,19.50%,19.00%
4,54.02%,BitAgent-8B,88.81%,93.00%,91.50%,87.00%,86.50%,79.58%,17.50%,21.00%,15.50%,12.50%,21.00%
5,53.78%,Qwen3-8B (Prompt),89.52%,94.25%,93.00%,93.00%,94.00%,78.75%,16.25%,21.00%,21.00%,13.50%,9.50%
6,52.20%,ToolACE-2-8B (FC),89.29%,96.50%,92.00%,88.50%,91.50%,75.00%,13.25%,18.00%,11.00%,8.50%,15.50%
7,50.85%,gpt-oss-20b LoRA ckpt400-5epoch-v6data-simple-cot-only-answer-loss-aug-only-miss-turn3-64-128-256-lr5e-7,85.95%,87.50%,86.00%,0.00%,0.00%,83.33%,14.00%,20.00%,9.50%,14.00%,12.50%
8,50.67%,gpt-oss-20b LoRA ckpt150-5epoch-v6data-simple-cot-only-answer-los-A-method-64-128-256-lr5e-7,85.00%,85.25%,84.50%,0.00%,0.00%,85.00%,14.62%,18.50%,12.50%,14.50%,13.00%
9,50.55%,gpt-oss-20b LoRA ckpt210-5epoch-v6data-simple-cot-only-answer-loss-B-method-64-128-256-lr5e-7,86.07%,87.50%,85.00%,0.00%,0.00%,84.58%,13.25%,15.50%,11.50%,12.00%,14.00%
10,50.55%,gpt-oss-20b LoRA ckpt400-5epoch-v6data-simple-cot-only-answer-loss-64-128-256-lr5e-7,85.24%,87.50%,84.00%,0.00%,0.00%,82.50%,14.13%,18.50%,8.00%,14.00%,16.00%
11,50.55%,gpt-oss-20b LoRA ckpt320-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,85.36%,85.50%,85.00%,0.00%,0.00%,85.42%,14.00%,18.00%,10.00%,13.00%,15.00%
12,50.55%,Gemma-4-31B-it(FC) LoRA ckpt90-5epoch-zhtw-split-turn-5120-trans5-empty-cot-lr5e-7,83.45%,91.00%,91.50%,88.00%,83.00%,64.17%,16.00%,21.00%,9.00%,13.50%,20.50%
13,50.49%,gpt-oss-20b LoRA ckpt150-5epoch-v6data-base-cot-only-answer-loss-A-method-64-128-256-lr5e-7,85.48%,85.75%,86.00%,0.00%,0.00%,84.58%,13.75%,16.00%,10.00%,13.50%,15.50%
14,50.49%,gpt-oss-20b LoRA ckpt280-5epoch-v6data-simple-cot-only-answer-loss-C-method-64-128-256-lr5e-7,86.19%,87.75%,87.50%,0.00%,0.00%,82.50%,13.00%,16.00%,10.50%,12.00%,13.50%
15,50.43%,gpt-oss-20b LoRA ckpt100-5epoch-v6data-simple-cot-only-answer-los-A-method-64-128-256-lr5e-7,84.52%,85.50%,83.50%,0.00%,0.00%,83.75%,14.62%,20.00%,12.00%,12.50%,14.00%
16,50.43%,gpt-oss-20b LoRA ckpt200-5epoch-v6data-simple-cot-only-answer-loss-C-method-64-128-256-lr5e-7,85.24%,87.50%,85.50%,0.00%,0.00%,81.25%,13.88%,17.00%,11.00%,14.00%,13.50%
17,50.43%,gpt-oss-20b LoRA ckpt200-5epoch-v6data-simple-cot-only-answer-los-A-method-64-128-256-lr5e-7,84.88%,86.25%,85.50%,0.00%,0.00%,82.08%,14.25%,18.00%,9.00%,14.50%,15.50%
18,50.43%,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-turn-simple-thinking-test-v5-lr5e-7,86.19%,88.00%,86.00%,0.00%,0.00%,83.33%,12.88%,15.50%,10.00%,13.50%,12.50%
19,50.43%,gpt-oss-20b LoRA ckpt160-5epoch-v6data-simple-cot-only-answer-loss-64-192-256-lr5e-7,85.83%,87.75%,86.50%,0.00%,0.00%,82.08%,13.25%,17.00%,11.00%,12.50%,12.50%
20,50.37%,gpt-oss-20b LoRA ckpt320-5epoch-v6data-simple-cot-only-answer-loss-64-192-256-lr5e-7,84.76%,86.75%,86.00%,0.00%,0.00%,80.42%,14.25%,18.00%,9.50%,14.50%,15.00%
