Rank,Model,Multi Turn Overall Acc,Base,Miss Func,Miss Param,Long Context
1,xLAM-2-8b-fc-r (FC),69.75%,77.50%,69.50%,64.50%,67.50%
2,BitAgent-Bounty-8B,57.88%,75.50%,41.00%,60.00%,55.00%
3,ToolACE-2-8B (FC),38.62%,48.50%,31.50%,29.50%,45.00%
4,gpt-oss-20b LoRA ckpt140-1epoch-all-zhtw-split-turn-lr5e-7,38.50%,40.50%,40.00%,38.00%,35.50%
5,watt-tool-8B (FC),37.88%,46.00%,39.50%,24.50%,41.50%
6,Qwen3-8B (FC),37.88%,41.50%,43.50%,34.50%,32.00%
7,BitAgent-8B,37.75%,46.00%,37.50%,24.50%,43.00%
8,gpt-oss-20b LoRA ckpt215-1epoch-all-zhtw-split-turn-lr5e-7,36.62%,42.00%,38.00%,34.50%,32.00%
9,gpt-oss-20b LoRA ckpt70-1epoch-all-zhtw-split-turn-lr5e-7,35.38%,41.00%,37.00%,34.00%,29.50%
10,gpt-oss-20b LoRA ckpt50-1epoch-all-zhtw-lr5e-7,34.62%,37.00%,35.00%,38.50%,28.00%
11,openai/gpt-oss-20b (FC) (vLLM),34.00%,37.50%,34.50%,34.50%,29.50%
12,gpt-oss-20b LoRA ckpt100-1epoch-all-zhtw-lr5e-7,30.25%,34.00%,32.00%,29.00%,26.00%
13,gpt-oss-20b LoRA ckpt149-1epoch-all-zhtw-lr5e-7,28.88%,31.00%,31.50%,30.00%,23.00%
14,Qwen3-8B (Prompt),28.00%,33.00%,36.00%,23.50%,19.50%
15,Qwen/Qwen2.5-7B-Instruct,14.62%,21.00%,12.50%,15.00%,10.00%
16,Ministral-8B-Instruct-2410 (FC),11.37%,20.50%,6.50%,9.50%,9.00%
17,gpt-oss-20b LoRA ckpt70-1epoch-all-zhtw-split-turn-lr1e-5,10.50%,15.00%,8.00%,7.00%,12.00%
18,Llama-3.1-8B-Instruct (Prompt),7.25%,8.50%,6.50%,6.50%,7.50%
19,CoALM-8B,6.38%,7.00%,8.50%,5.50%,4.50%
20,Llama-3.1-8B-Instruct (FC),6.38%,6.00%,7.50%,6.00%,6.00%
21,gpt-oss-20b LoRA ckpt50-1epoch-all-zhtw-lr1e-5,4.25%,4.50%,5.50%,5.00%,2.00%
22,gpt-oss-20b LoRA ckpt215-1epoch-all-zhtw-split-turn-lr1e-5,1.62%,3.00%,0.50%,1.50%,1.50%
23,gpt-oss-20b LoRA ckpt140-1epoch-all-zhtw-split-turn-lr1e-5,1.38%,3.00%,0.00%,1.00%,1.50%
24,gpt-oss-20b LoRA ckpt100-1epoch-all-zhtw-lr1e-5,0.62%,0.50%,0.00%,1.50%,0.50%
25,gpt-oss-20b LoRA ckpt149-1epoch-all-zhtw-lr1e-5,0.25%,0.00%,1.00%,0.00%,0.00%
