Rank,Model,Non-Live Overall Acc,AST Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Irrelevance Detection
1,Qwen3-8B (Prompt),86.71%,86.71%,78.42%,96.25%,65.00%,74.00%,95.00%,92.50%,90.50%,87.50%
2,watt-tool-8B (FC),85.92%,85.92%,76.83%,93.50%,65.00%,72.00%,95.00%,93.00%,84.50%,93.33%
3,BitAgent-8B,85.62%,85.62%,76.25%,93.75%,65.00%,70.00%,95.00%,93.50%,86.00%,92.92%
4,Qwen3-8B (FC),84.92%,84.92%,74.83%,96.50%,62.00%,66.00%,95.00%,92.00%,89.00%,80.83%
5,Llama-3.1-8B-Instruct (Prompt),83.58%,83.58%,71.67%,94.00%,57.00%,64.00%,95.50%,86.00%,83.00%,47.08%
6,xLAM-2-8b-fc-r (FC),83.46%,83.46%,73.42%,92.25%,64.00%,64.00%,93.50%,87.00%,84.00%,62.08%
7,ToolACE-2-8B (FC),83.21%,83.21%,74.42%,85.25%,64.00%,74.00%,92.00%,92.50%,92.00%,96.67%
8,Ministral-8B-Instruct-2410 (FC),82.54%,82.54%,73.08%,93.25%,60.00%,66.00%,92.00%,84.50%,87.50%,57.92%
9,BitAgent-Bounty-8B,82.29%,82.29%,71.58%,93.75%,61.00%,60.00%,93.00%,82.00%,77.50%,96.67%
10,CoALM-8B,81.83%,81.83%,70.17%,92.50%,60.00%,58.00%,93.50%,88.00%,88.50%,91.25%
11,Qwen/Qwen2.5-7B-Instruct,81.50%,81.50%,68.50%,96.50%,57.00%,52.00%,94.50%,91.00%,85.00%,66.25%
12,Gemma-3-4b-it (Prompt),76.21%,76.21%,64.42%,90.25%,53.00%,50.00%,88.00%,53.50%,35.00%,50.42%
13,gpt-oss-20b LoRA ckpt420-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,76.08%,76.08%,61.67%,90.00%,45.00%,50.00%,90.50%,0.00%,0.00%,83.75%
14,gpt-oss-20b LoRA ckpt280-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,75.79%,75.79%,61.08%,90.25%,45.00%,48.00%,90.50%,0.00%,0.00%,87.92%
15,gpt-oss-20b LoRA ckpt350-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,75.58%,75.58%,61.67%,90.00%,45.00%,50.00%,89.50%,0.00%,0.00%,83.33%
16,gpt-oss-20b LoRA ckpt210-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,72.08%,72.08%,56.67%,89.00%,39.00%,42.00%,87.50%,0.00%,0.00%,88.33%
17,gpt-oss-20b LoRA ckpt490-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,71.42%,71.42%,53.83%,78.50%,37.00%,46.00%,89.00%,0.00%,0.00%,81.67%
18,gpt-oss-20b LoRA ckpt70-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,68.12%,68.12%,50.25%,85.75%,31.00%,34.00%,86.00%,0.00%,0.00%,90.42%
19,gpt-oss-20b LoRA ckpt140-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,67.83%,67.83%,50.67%,88.00%,32.00%,32.00%,85.00%,0.00%,0.00%,89.17%
20,openai/gpt-oss-20b (FC) (vLLM),64.42%,64.42%,45.33%,86.00%,28.00%,22.00%,83.50%,0.00%,0.00%,90.42%
21,gpt-oss-20b LoRA ckpt560-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,63.67%,63.67%,45.33%,58.00%,34.00%,44.00%,82.00%,0.00%,0.00%,83.33%
22,gpt-oss-20b LoRA ckpt630-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,62.42%,62.42%,42.33%,48.00%,29.00%,50.00%,82.50%,0.00%,0.00%,84.58%
23,Llama-3.1-8B-Instruct (FC),54.46%,54.46%,55.42%,49.25%,57.00%,60.00%,53.50%,49.50%,34.50%,1.25%
24,gpt-oss-20b LoRA ckpt700-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,51.38%,51.38%,28.75%,38.25%,24.00%,24.00%,74.00%,0.00%,0.00%,85.83%
25,gpt-oss-20b LoRA ckpt910-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,47.83%,47.83%,20.17%,42.50%,12.00%,6.00%,75.50%,0.00%,0.00%,84.58%
26,gpt-oss-20b LoRA ckpt840-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,45.58%,45.58%,21.17%,31.50%,18.00%,14.00%,70.00%,0.00%,0.00%,87.92%
27,gpt-oss-20b LoRA ckpt770-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,44.67%,44.67%,24.83%,32.50%,24.00%,18.00%,64.50%,0.00%,0.00%,86.67%
28,gpt-oss-20b LoRA ckpt980-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,43.62%,43.62%,21.25%,34.75%,15.00%,14.00%,66.00%,0.00%,0.00%,86.25%
29,gpt-oss-20b LoRA ckpt1075-5epoch-all-zhtw-split-turn-lr5e-7-16-64-128,37.79%,37.79%,18.58%,21.75%,14.00%,20.00%,57.00%,0.00%,0.00%,90.42%
30,twinkle gemma-3-4B-T1-it,16.21%,16.21%,26.42%,14.25%,3.00%,62.00%,6.00%,7.50%,1.50%,70.42%
