test_category,total,correct,accuracy,inference_error,force_terminated,empty_turn_model_response,instance_state_mismatch,execution_response_mismatch,irrelevance_error:decoder_success,,fc_over,fc_under,fc_equal_correct,fc_equal_wrong
multi_turn_base,200,61,30.50,0,115,0,17,7,0,,19,124,0,2
zh_multi_turn_base,200,29,14.50,0,54,6,86,25,0,,76,92,15,13

SUMMARY,400,90,22.50,0,169,6,103,32,0,,95,216,15,15
,,,,,multi_turn_base:multi_turn_base_4,zh_multi_turn_base:zh_multi_turn_base_99,multi_turn_base:multi_turn_base_1,multi_turn_base:multi_turn_base_25,,,multi_turn_base:multi_turn_base_1,multi_turn_base:multi_turn_base_4,zh_multi_turn_base:zh_multi_turn_base_8,multi_turn_base:multi_turn_base_72
,,,,,multi_turn_base:multi_turn_base_8,zh_multi_turn_base:zh_multi_turn_base_103,multi_turn_base:multi_turn_base_2,multi_turn_base:multi_turn_base_46,,,multi_turn_base:multi_turn_base_2,multi_turn_base:multi_turn_base_6,zh_multi_turn_base:zh_multi_turn_base_14,multi_turn_base:multi_turn_base_173
,,,,,multi_turn_base:multi_turn_base_9,zh_multi_turn_base:zh_multi_turn_base_108,multi_turn_base:multi_turn_base_6,multi_turn_base:multi_turn_base_49,,,multi_turn_base:multi_turn_base_15,multi_turn_base:multi_turn_base_8,zh_multi_turn_base:zh_multi_turn_base_29,zh_multi_turn_base:zh_multi_turn_base_48
,,,,,multi_turn_base:multi_turn_base_10,zh_multi_turn_base:zh_multi_turn_base_121,multi_turn_base:multi_turn_base_15,multi_turn_base:multi_turn_base_85,,,multi_turn_base:multi_turn_base_16,multi_turn_base:multi_turn_base_9,zh_multi_turn_base:zh_multi_turn_base_77,zh_multi_turn_base:zh_multi_turn_base_67
,,,,,multi_turn_base:multi_turn_base_11,zh_multi_turn_base:zh_multi_turn_base_127,multi_turn_base:multi_turn_base_16,multi_turn_base:multi_turn_base_121,,,multi_turn_base:multi_turn_base_25,multi_turn_base:multi_turn_base_10,zh_multi_turn_base:zh_multi_turn_base_151,zh_multi_turn_base:zh_multi_turn_base_72
,,,,,multi_turn_base:multi_turn_base_17,zh_multi_turn_base:zh_multi_turn_base_141,multi_turn_base:multi_turn_base_28,multi_turn_base:multi_turn_base_155,,,multi_turn_base:multi_turn_base_28,multi_turn_base:multi_turn_base_11,zh_multi_turn_base:zh_multi_turn_base_154,zh_multi_turn_base:zh_multi_turn_base_74
,,,,,multi_turn_base:multi_turn_base_18,,multi_turn_base:multi_turn_base_31,multi_turn_base:multi_turn_base_198,,,multi_turn_base:multi_turn_base_31,multi_turn_base:multi_turn_base_17,zh_multi_turn_base:zh_multi_turn_base_158,zh_multi_turn_base:zh_multi_turn_base_88
,,,,,multi_turn_base:multi_turn_base_26,,multi_turn_base:multi_turn_base_61,zh_multi_turn_base:zh_multi_turn_base_7,,,multi_turn_base:multi_turn_base_49,multi_turn_base:multi_turn_base_18,zh_multi_turn_base:zh_multi_turn_base_159,zh_multi_turn_base:zh_multi_turn_base_97
,,,,,multi_turn_base:multi_turn_base_30,,multi_turn_base:multi_turn_base_66,zh_multi_turn_base:zh_multi_turn_base_25,,,multi_turn_base:multi_turn_base_61,multi_turn_base:multi_turn_base_25,zh_multi_turn_base:zh_multi_turn_base_168,zh_multi_turn_base:zh_multi_turn_base_144
,,,,,multi_turn_base:multi_turn_base_33,,multi_turn_base:multi_turn_base_71,zh_multi_turn_base:zh_multi_turn_base_31,,,multi_turn_base:multi_turn_base_66,multi_turn_base:multi_turn_base_26,zh_multi_turn_base:zh_multi_turn_base_172,zh_multi_turn_base:zh_multi_turn_base_152
,,,,,multi_turn_base:multi_turn_base_36,,multi_turn_base:multi_turn_base_72,zh_multi_turn_base:zh_multi_turn_base_33,,,multi_turn_base:multi_turn_base_71,multi_turn_base:multi_turn_base_30,zh_multi_turn_base:zh_multi_turn_base_191,zh_multi_turn_base:zh_multi_turn_base_170
,,,,,multi_turn_base:multi_turn_base_37,,multi_turn_base:multi_turn_base_75,zh_multi_turn_base:zh_multi_turn_base_34,,,multi_turn_base:multi_turn_base_72,multi_turn_base:multi_turn_base_33,zh_multi_turn_base:zh_multi_turn_base_193,zh_multi_turn_base:zh_multi_turn_base_171
,,,,,multi_turn_base:multi_turn_base_40,,multi_turn_base:multi_turn_base_79,zh_multi_turn_base:zh_multi_turn_base_39,,,multi_turn_base:multi_turn_base_75,multi_turn_base:multi_turn_base_36,zh_multi_turn_base:zh_multi_turn_base_194,zh_multi_turn_base:zh_multi_turn_base_173
,,,,,multi_turn_base:multi_turn_base_42,,multi_turn_base:multi_turn_base_82,zh_multi_turn_base:zh_multi_turn_base_49,,,multi_turn_base:multi_turn_base_82,multi_turn_base:multi_turn_base_37,zh_multi_turn_base:zh_multi_turn_base_197,zh_multi_turn_base:zh_multi_turn_base_177
,,,,,multi_turn_base:multi_turn_base_43,,multi_turn_base:multi_turn_base_94,zh_multi_turn_base:zh_multi_turn_base_57,,,multi_turn_base:multi_turn_base_85,multi_turn_base:multi_turn_base_40,zh_multi_turn_base:zh_multi_turn_base_198,zh_multi_turn_base:zh_multi_turn_base_183
,,,,,multi_turn_base:multi_turn_base_48,,multi_turn_base:multi_turn_base_173,zh_multi_turn_base:zh_multi_turn_base_59,,,multi_turn_base:multi_turn_base_94,multi_turn_base:multi_turn_base_42,,
,,,,,multi_turn_base:multi_turn_base_51,,multi_turn_base:multi_turn_base_176,zh_multi_turn_base:zh_multi_turn_base_67,,,multi_turn_base:multi_turn_base_173,multi_turn_base:multi_turn_base_43,,
,,,,,multi_turn_base:multi_turn_base_52,,zh_multi_turn_base:zh_multi_turn_base_4,zh_multi_turn_base:zh_multi_turn_base_77,,,multi_turn_base:multi_turn_base_176,multi_turn_base:multi_turn_base_46,,
,,,,,multi_turn_base:multi_turn_base_54,,zh_multi_turn_base:zh_multi_turn_base_5,zh_multi_turn_base:zh_multi_turn_base_78,,,multi_turn_base:multi_turn_base_198,multi_turn_base:multi_turn_base_48,,
,,,,,multi_turn_base:multi_turn_base_55,,zh_multi_turn_base:zh_multi_turn_base_6,zh_multi_turn_base:zh_multi_turn_base_80,,,zh_multi_turn_base:zh_multi_turn_base_4,multi_turn_base:multi_turn_base_51,,
,,,,,multi_turn_base:multi_turn_base_60,,zh_multi_turn_base:zh_multi_turn_base_8,zh_multi_turn_base:zh_multi_turn_base_96,,,zh_multi_turn_base:zh_multi_turn_base_5,multi_turn_base:multi_turn_base_52,,
,,,,,multi_turn_base:multi_turn_base_68,,zh_multi_turn_base:zh_multi_turn_base_9,zh_multi_turn_base:zh_multi_turn_base_97,,,zh_multi_turn_base:zh_multi_turn_base_7,multi_turn_base:multi_turn_base_54,,
,,,,,multi_turn_base:multi_turn_base_69,,zh_multi_turn_base:zh_multi_turn_base_11,zh_multi_turn_base:zh_multi_turn_base_98,,,zh_multi_turn_base:zh_multi_turn_base_9,multi_turn_base:multi_turn_base_55,,
,,,,,multi_turn_base:multi_turn_base_81,,zh_multi_turn_base:zh_multi_turn_base_12,zh_multi_turn_base:zh_multi_turn_base_106,,,zh_multi_turn_base:zh_multi_turn_base_11,multi_turn_base:multi_turn_base_60,,
,,,,,multi_turn_base:multi_turn_base_83,,zh_multi_turn_base:zh_multi_turn_base_14,zh_multi_turn_base:zh_multi_turn_base_110,,,zh_multi_turn_base:zh_multi_turn_base_12,multi_turn_base:multi_turn_base_68,,
,,,,,multi_turn_base:multi_turn_base_86,,zh_multi_turn_base:zh_multi_turn_base_15,zh_multi_turn_base:zh_multi_turn_base_118,,,zh_multi_turn_base:zh_multi_turn_base_15,multi_turn_base:multi_turn_base_69,,
,,,,,multi_turn_base:multi_turn_base_92,,zh_multi_turn_base:zh_multi_turn_base_19,zh_multi_turn_base:zh_multi_turn_base_123,,,zh_multi_turn_base:zh_multi_turn_base_21,multi_turn_base:multi_turn_base_72,,
,,,,,multi_turn_base:multi_turn_base_93,,zh_multi_turn_base:zh_multi_turn_base_21,zh_multi_turn_base:zh_multi_turn_base_144,,,zh_multi_turn_base:zh_multi_turn_base_22,multi_turn_base:multi_turn_base_79,,
,,,,,multi_turn_base:multi_turn_base_99,,zh_multi_turn_base:zh_multi_turn_base_22,zh_multi_turn_base:zh_multi_turn_base_148,,,zh_multi_turn_base:zh_multi_turn_base_25,multi_turn_base:multi_turn_base_81,,
,,,,,multi_turn_base:multi_turn_base_100,,zh_multi_turn_base:zh_multi_turn_base_28,zh_multi_turn_base:zh_multi_turn_base_165,,,zh_multi_turn_base:zh_multi_turn_base_28,multi_turn_base:multi_turn_base_83,,
,,,,,multi_turn_base:multi_turn_base_101,,zh_multi_turn_base:zh_multi_turn_base_29,zh_multi_turn_base:zh_multi_turn_base_173,,,zh_multi_turn_base:zh_multi_turn_base_31,multi_turn_base:multi_turn_base_85,,
,,,,,multi_turn_base:multi_turn_base_102,,zh_multi_turn_base:zh_multi_turn_base_40,zh_multi_turn_base:zh_multi_turn_base_185,,,zh_multi_turn_base:zh_multi_turn_base_33,multi_turn_base:multi_turn_base_86,,
,,,,,multi_turn_base:multi_turn_base_104,,zh_multi_turn_base:zh_multi_turn_base_42,,,,zh_multi_turn_base:zh_multi_turn_base_34,multi_turn_base:multi_turn_base_92,,
,,,,,multi_turn_base:multi_turn_base_105,,zh_multi_turn_base:zh_multi_turn_base_43,,,,zh_multi_turn_base:zh_multi_turn_base_39,multi_turn_base:multi_turn_base_93,,
,,,,,multi_turn_base:multi_turn_base_106,,zh_multi_turn_base:zh_multi_turn_base_46,,,,zh_multi_turn_base:zh_multi_turn_base_40,multi_turn_base:multi_turn_base_94,,
,,,,,multi_turn_base:multi_turn_base_107,,zh_multi_turn_base:zh_multi_turn_base_48,,,,zh_multi_turn_base:zh_multi_turn_base_42,multi_turn_base:multi_turn_base_99,,
,,,,,multi_turn_base:multi_turn_base_108,,zh_multi_turn_base:zh_multi_turn_base_51,,,,zh_multi_turn_base:zh_multi_turn_base_43,multi_turn_base:multi_turn_base_100,,
,,,,,multi_turn_base:multi_turn_base_109,,zh_multi_turn_base:zh_multi_turn_base_52,,,,zh_multi_turn_base:zh_multi_turn_base_46,multi_turn_base:multi_turn_base_101,,
,,,,,multi_turn_base:multi_turn_base_110,,zh_multi_turn_base:zh_multi_turn_base_53,,,,zh_multi_turn_base:zh_multi_turn_base_48,multi_turn_base:multi_turn_base_102,,
,,,,,multi_turn_base:multi_turn_base_111,,zh_multi_turn_base:zh_multi_turn_base_55,,,,zh_multi_turn_base:zh_multi_turn_base_49,multi_turn_base:multi_turn_base_104,,
,,,,,multi_turn_base:multi_turn_base_112,,zh_multi_turn_base:zh_multi_turn_base_58,,,,zh_multi_turn_base:zh_multi_turn_base_51,multi_turn_base:multi_turn_base_105,,
,,,,,multi_turn_base:multi_turn_base_113,,zh_multi_turn_base:zh_multi_turn_base_60,,,,zh_multi_turn_base:zh_multi_turn_base_52,multi_turn_base:multi_turn_base_106,,
,,,,,multi_turn_base:multi_turn_base_114,,zh_multi_turn_base:zh_multi_turn_base_61,,,,zh_multi_turn_base:zh_multi_turn_base_55,multi_turn_base:multi_turn_base_107,,
,,,,,multi_turn_base:multi_turn_base_115,,zh_multi_turn_base:zh_multi_turn_base_64,,,,zh_multi_turn_base:zh_multi_turn_base_58,multi_turn_base:multi_turn_base_108,,
,,,,,multi_turn_base:multi_turn_base_116,,zh_multi_turn_base:zh_multi_turn_base_65,,,,zh_multi_turn_base:zh_multi_turn_base_60,multi_turn_base:multi_turn_base_109,,
,,,,,multi_turn_base:multi_turn_base_117,,zh_multi_turn_base:zh_multi_turn_base_66,,,,zh_multi_turn_base:zh_multi_turn_base_65,multi_turn_base:multi_turn_base_110,,
,,,,,multi_turn_base:multi_turn_base_118,,zh_multi_turn_base:zh_multi_turn_base_68,,,,zh_multi_turn_base:zh_multi_turn_base_66,multi_turn_base:multi_turn_base_111,,
,,,,,multi_turn_base:multi_turn_base_119,,zh_multi_turn_base:zh_multi_turn_base_69,,,,zh_multi_turn_base:zh_multi_turn_base_68,multi_turn_base:multi_turn_base_112,,
,,,,,multi_turn_base:multi_turn_base_120,,zh_multi_turn_base:zh_multi_turn_base_70,,,,zh_multi_turn_base:zh_multi_turn_base_69,multi_turn_base:multi_turn_base_113,,
,,,,,multi_turn_base:multi_turn_base_122,,zh_multi_turn_base:zh_multi_turn_base_71,,,,zh_multi_turn_base:zh_multi_turn_base_70,multi_turn_base:multi_turn_base_114,,
,,,,,multi_turn_base:multi_turn_base_123,,zh_multi_turn_base:zh_multi_turn_base_72,,,,zh_multi_turn_base:zh_multi_turn_base_72,multi_turn_base:multi_turn_base_115,,
,,,,,multi_turn_base:multi_turn_base_124,,zh_multi_turn_base:zh_multi_turn_base_74,,,,zh_multi_turn_base:zh_multi_turn_base_74,multi_turn_base:multi_turn_base_116,,
,,,,,multi_turn_base:multi_turn_base_125,,zh_multi_turn_base:zh_multi_turn_base_75,,,,zh_multi_turn_base:zh_multi_turn_base_75,multi_turn_base:multi_turn_base_117,,
,,,,,multi_turn_base:multi_turn_base_126,,zh_multi_turn_base:zh_multi_turn_base_76,,,,zh_multi_turn_base:zh_multi_turn_base_76,multi_turn_base:multi_turn_base_118,,
,,,,,multi_turn_base:multi_turn_base_128,,zh_multi_turn_base:zh_multi_turn_base_79,,,,zh_multi_turn_base:zh_multi_turn_base_78,multi_turn_base:multi_turn_base_119,,
,,,,,multi_turn_base:multi_turn_base_129,,zh_multi_turn_base:zh_multi_turn_base_82,,,,zh_multi_turn_base:zh_multi_turn_base_82,multi_turn_base:multi_turn_base_120,,
,,,,,multi_turn_base:multi_turn_base_130,,zh_multi_turn_base:zh_multi_turn_base_83,,,,zh_multi_turn_base:zh_multi_turn_base_86,multi_turn_base:multi_turn_base_121,,
,,,,,multi_turn_base:multi_turn_base_131,,zh_multi_turn_base:zh_multi_turn_base_86,,,,zh_multi_turn_base:zh_multi_turn_base_89,multi_turn_base:multi_turn_base_122,,
,,,,,multi_turn_base:multi_turn_base_132,,zh_multi_turn_base:zh_multi_turn_base_88,,,,zh_multi_turn_base:zh_multi_turn_base_90,multi_turn_base:multi_turn_base_123,,
,,,,,multi_turn_base:multi_turn_base_133,,zh_multi_turn_base:zh_multi_turn_base_89,,,,zh_multi_turn_base:zh_multi_turn_base_91,multi_turn_base:multi_turn_base_124,,
,,,,,multi_turn_base:multi_turn_base_134,,zh_multi_turn_base:zh_multi_turn_base_90,,,,zh_multi_turn_base:zh_multi_turn_base_92,multi_turn_base:multi_turn_base_125,,
,,,,,multi_turn_base:multi_turn_base_136,,zh_multi_turn_base:zh_multi_turn_base_91,,,,zh_multi_turn_base:zh_multi_turn_base_95,multi_turn_base:multi_turn_base_126,,
,,,,,multi_turn_base:multi_turn_base_137,,zh_multi_turn_base:zh_multi_turn_base_92,,,,zh_multi_turn_base:zh_multi_turn_base_96,multi_turn_base:multi_turn_base_128,,
,,,,,multi_turn_base:multi_turn_base_138,,zh_multi_turn_base:zh_multi_turn_base_93,,,,zh_multi_turn_base:zh_multi_turn_base_98,multi_turn_base:multi_turn_base_129,,
,,,,,multi_turn_base:multi_turn_base_139,,zh_multi_turn_base:zh_multi_turn_base_94,,,,zh_multi_turn_base:zh_multi_turn_base_99,multi_turn_base:multi_turn_base_130,,
,,,,,multi_turn_base:multi_turn_base_140,,zh_multi_turn_base:zh_multi_turn_base_95,,,,zh_multi_turn_base:zh_multi_turn_base_103,multi_turn_base:multi_turn_base_131,,
,,,,,multi_turn_base:multi_turn_base_141,,zh_multi_turn_base:zh_multi_turn_base_132,,,,zh_multi_turn_base:zh_multi_turn_base_106,multi_turn_base:multi_turn_base_132,,
,,,,,multi_turn_base:multi_turn_base_142,,zh_multi_turn_base:zh_multi_turn_base_147,,,,zh_multi_turn_base:zh_multi_turn_base_110,multi_turn_base:multi_turn_base_133,,
,,,,,multi_turn_base:multi_turn_base_143,,zh_multi_turn_base:zh_multi_turn_base_151,,,,zh_multi_turn_base:zh_multi_turn_base_118,multi_turn_base:multi_turn_base_134,,
